Region 2 - Saint John,Anglophone South School District,215034,ORIGINS NLC 215,Full-time Centre,"567 Millidge Avenue, Saint John",NB,E2K 2N5,40,9,31,0,English,236706,1
Region 2 - Saint John,Anglophone South School District,218001,CENTENARY QUEEN SQUARE DAYCARE CENTRE,Full-time Centre,"310 Princess Street, Saint John",NB,E2L 1L5,24,0,24,0,English,236660,1
Region 2 - Saint John,Anglophone South School District,226018,Inspire Early Learning Centre 6,Full-time Centre,"21 Pettingill Road, Quispamsis",NB,E2E 6B1,55,9,46,10,English,288981,1
Region 2 - Saint John,Anglophone South School District,226019,Inspire Early Learning Centre 7,Part-time Centre,"21 Pettingill Road, Quispamsis",NB,E2E 6B1,55,0,0,55,English,288981,0
khjkjjjhgh,kljkh,227028,SUSSEX EARLY LEARNING CENTRE,Full-time Centre,"126 Maple Avenue, Sussex",NB,E4E 2N3,38,0,38,0,English,236629,1
