Region,District,License-Number,Facility-Name,Facility-Type,Facility-Address-1,Facility-Address-2,Facility-Address-3,Max-Number-of-Children,Max-Number-of-Infants,Max-Number-of-Preschool-Aged-Children,Max-Number-of-School-Age-Children,Language-of-Service,Operator-Id,Designated-Facility
Region 3 - Fredericton,Anglophone West School District,2021090,Woodstock Christian Academy Inc - Preschool Discovery Center,Full-time Centre,"137 Houlton Street, Woodstock",NB,E7M 1Y4,43,3,25,15,English,165636,1
Region 2 - Saint John,Anglophone South School District,2021093,CLASS 424,Full-time Centre,"424 Main Street, Sussex",NB,E4E 1S3,60,0,30,40,English,236642,0
Region 1 - Moncton,District scolaire francophone Sud,2021102,La Garde'rire 2 - Centre Éducatif de Cocagne Inc.,Part-time Centre,"4783 134 Route, Cocagne",NB,E4R 2Y2,15,0,0,15,French,237872,0
Region 1 - Moncton,Anglophone East School District,2021109,Powerplay Riverview Campus 1,Full-time Centre,"500 Hillsborough Road, Riverview",NB,E1B 4E7,54,18,36,0,English,237805,1
Region 1 - Moncton,Anglophone East School District,2021110,Powerplay Riverview Campus 2,Full-time Centre,"500 Hillsborough Road, Riverview",NB,E1B 4E7,36,0,36,0,English,237805,1
Region 1 - Moncton,Anglophone East School District,2021111,Powerplay Riverview Campus 3,Part-time Centre,"500 Hillsborough Road, Riverview",NB,E1B 4E7,55,0,0,55,English,237805,0
Region 1 - Moncton,District scolaire francophone Sud,2021121,Garderie Adorable,Home,"290 Pré-d'en-Haut Chemin, Memramcook",NB,E4K 1L6,6,1,3,2,French,237358,1
Region 1 - Moncton,District scolaire francophone Sud,2021088,Garderie Royaume des papillons,Home,"65 McLaughlin Rue, Bouctouche",NB,E4S 3P3,6,2,3,1,French,300561,1
Region 1 - Moncton,Anglophone North School District,2021092,Creating Wonders Elsipogtog,Full-time Centre,"356 Big Cove Road, Elsipogtog First Nation",NB,E4W 2S6,60,9,27,24,English,237009,1
Region 1 - Moncton,District scolaire francophone Sud,2021125,La Garderinade,Home,"158 Albini Rue, Dieppe",NB,E1A 1T7,9,0,0,9,French,237355,0
Region 3 - Fredericton,Anglophone West School District,2021127,Macie's Happy Faces Daycare,Full-time Centre,"531 Main Street, Doaktown",NB,E9C 1W9,24,5,19,0,English,305976,1
Region 1 - Moncton,District scolaire francophone Sud,2021131,Service de garde les toutous,Home,"22 Glencoe Drive, Moncton",NB,E1A 4W6,6,2,3,1,French,306124,1
Region 1 - Moncton,Anglophone East School District,2021132,Garderie Les Petits Bisounours Daycare,Full-time Centre,"25 Pine Glen Road, Riverview",NB,E1B 3J3,46,6,25,15,English,307190,1
Region 3 - Fredericton,Anglophone West School District,2021138,The Lily Pad,Home,", Oromocto",NB,,6,2,3,1,English,310032,1
Region 3 - Fredericton,Anglophone West School District,2021142,Fredericton Bouldering Co-operative,Part-time Centre,"528 Smythe Street, Fredericton",NB,E3B 3E6,30,0,0,30,English,310756,0
Region 3 - Fredericton,Anglophone West School District,2022008,Talented Toddlers,Home,"6 Haines Crescent, Fredericton",NB,E3A 4W1,6,2,3,1,English,313316,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2022007,Garderie Pomme de Reinette,Home,"1190 Bridge Street, Bathurst",NB,E2A 1X5,6,2,3,1,French,312923,1
Region 2 - Saint John,Anglophone South School District,2022012,Boulevard Out of School Club 2,Full-time Centre,"170 Milltown Boulevard, St. Stephen",NB,E3L 1G8,50,0,20,30,English,284206,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2022013,Garderie la Forêt des Découvertes 3,Part-time Centre,"66 Des Pionniers Avenue, Balmoral",NB,E8E 2N4,60,0,20,60,French,261280,1
Region 2 - Saint John,Anglophone South School District,2022014,YMCA - North Hub - Child Care,Full-time Centre,"538 Sandy Point Road, Saint John",NB,E2K 3S2,59,6,53,0,English,202715,1
Region 1 - Moncton,Anglophone East School District,2022015,Playing is Learning,Home,"18 Jarvis Court, Moncton",NB,E1A 5J4,5,2,3,0,English,316338,1
Region 2 - Saint John,Anglophone South School District,2022016,Rising Stars Daycare - Sussex,Full-time Centre,"1085 Main Street, Sussex Corner",NB,E4E 3C8,56,6,50,16,English,245014,1
Region 1 - Moncton,District scolaire francophone Sud,2022023,Garderie le Coin des Copains,Home,"243 Gould Rue, Dieppe",NB,E1A 1T8,6,1,3,0,French,320404,1
Region 3 - Fredericton,Anglophone West School District,2022032,Little Cubs Early Learning Center,Full-time Centre,"2331 640 Route, Hanwell",NB,E3E 0H4,39,0,18,21,English,220880,1
Region 2 - Saint John,Anglophone South School District,2022033,YMCA - Champlain Heights ASP,Part-time Centre,"111 Champlain Drive, Saint John",NB,E2J 3E4,49,0,0,49,English,202715,0
Region 3 - Fredericton,Anglophone West School District,2022036,Muddy Hands Afterschool Care Centre,Part-time Centre,"179 Sunbury Drive, Fredericton Junction",NB,E5L 1R5,30,0,0,30,English,323646,0
Region 3 - Fredericton,Anglophone West School District,2022046,Energy Kidz,Part-time Centre,"300 Restigouche Road, Oromocto",NB,E2V 2H5,60,0,0,60,English,324605,0
Region 4 - Bathurst,District scolaire francophone Nord-Est,2022049,Les Étoiles de Marguerite-Bourgeoys 2,Part-time Centre,"238 Marguerite-Bourgeoys Rue, Caraquet",NB,E1W 1B7,60,0,0,60,French,237045,0
Region 2 - Saint John,Anglophone South School District,2022052,Shine After School Care,Part-time Centre,"33 Pine Street, Sussex",NB,E4E 5R7,24,0,0,24,English,236663,0
Region 3 - Fredericton,Anglophone West School District,2022054,Little Buds Early Learning and Childcare,Home,"619 550 Route, Hartford",NB,E7M 5L6,6,2,3,1,English,328390,1
Region 2 - Saint John,Anglophone South School District,2022072,Just For Kidz Child Development Centre,Full-time Centre,"14 Porter Street, St. Stephen",NB,E3L 2M7,39,6,33,0,English,331535,1
Region 3 - Fredericton,Anglophone West School District,2022030,Oakland Academy Lincoln,Full-time Centre,"2398 Lincoln Road, Lincoln",NB,E3B 7E6,38,6,32,0,English,293464,1
Region 3 - Fredericton,Anglophone West School District,2022031,Oakland Academy Lincoln Youth,Full-time Centre,"2398 Lincoln Road, Lincoln",NB,E3B 7E6,42,0,12,30,English,293464,1
Region 2 - Saint John,Anglophone South School District,2022073,Just for Big Kidz Afterschool and Preschool Program,Part-time Centre,"12 Princess Street, St. Stephen",NB,E3L 2E8,35,0,10,35,English,331535,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2022104,À la garderie comme à la maison,Home,"30 Vimy Rue, Edmundston",NB,E3V 1B3,6,1,4,1,French,337437,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2010925,Les Amis de Madi 1 (2022),Full-time Centre,"335 Chapel Rue, Grand-Sault/Grand Falls",NB,E3Z 2M5,58,29,29,0,French,236902,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2018419,Les Amis de Madi 3 (2022),Full-time Centre,"335 Chapel Rue, Grand-Sault/Grand Falls",NB,E3Z 2M5,28,0,28,0,French,236902,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2022020,Garderie les petits zhiboux,Full-time Centre,"642 Des Acadiens Boulevard, Bertrand",NB,E1W 1G8,58,0,28,30,French,318969,1
Region 3 - Fredericton,Anglophone West School District,2022088,Sara's Sprouts,Home,"5730 105 Route, Mill Cove",NB,E4C 3A7,6,2,3,1,English,333630,1
Region 4 - Bathurst,Anglophone North School District,2022062,Wee Care Outdoor Adventures,Full-time Centre,"11 Mountain Street, Tide Head",NB,E3N 4J7,24,0,24,24,English,255147,0
Region 3 - Fredericton,Anglophone West School District,2022068,Little Treehouse After-School Program,Part-time Centre,"1052 Northside Drive, Minto",NB,E4B 3H7,15,0,0,15,English,301215,0
Region 2 - Saint John,Anglophone South School District,2022087,Wonderland Cub Club After School,Part-time Centre,"4 Upper Midland Road, Norton",NB,E5T 1Z6,21,0,0,21,English,332607,0
Region 2 - Saint John,Anglophone South School District,2022084,Wonderland Child Care,Full-time Centre,"6 Earl McGinnis Lane, Norton",NB,E5T 0G4,49,0,49,0,English,332607,1
Region 2 - Saint John,Anglophone South School District,2022085,Wonderland Child Care Infant Centre,Full-time Centre,"6 Earl McGinnis Lane, Norton",NB,E5T 0G4,18,18,0,0,English,332607,1
Region 2 - Saint John,Anglophone South School District,2022086,Wonderland Child Care After School,Full-time Centre,"6 Earl McGinnis Lane, Norton",NB,E5T 0G4,46,0,18,28,English,332607,1
Region 1 - Moncton,Anglophone East School District,2022069,Our Little Friends Riverview Daycare,Home,"23 Luxor Drive, Riverview",NB,E1B 0V7,6,1,3,0,English,330568,1
Region 1 - Moncton,Anglophone East School District,2021114,Powerplay Academy Riverview Campus 6,Full-time Centre,"500 Hillsborough Road, Riverview",NB,E1B 4E7,28,0,28,0,English,237805,1
Region 3 - Fredericton,Anglophone West School District,2022067,Seeds & Sprouts Childcare,Home,"437 Canada Street, Fredericton",NB,E3A 4A5,6,2,3,1,English,329902,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2022093,Halte Scolaire L'Enfant Magique,Part-time Centre,"61 Dover Street, Campbellton",NB,E3N 1P7,60,0,0,60,French,236817,0
Region 1 - Moncton,Anglophone East School District,2023001,Over the Moon Learning Centre,Part-time Centre,"25 Hildegard Drive, Moncton",NB,E1G 2G5,42,0,0,42,English,341052,0
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2023024,CPE Les Amis de Zoé,Home,"11 Cyr Rue, Saint-Léonard",NB,E7E 1X9,6,2,3,1,French,330845,1
Region 2 - Saint John,Anglophone South School District,2021120,Tree Tops Daycare Inc.,Full-time Centre,"445 St. Martins Road, Saint John",NB,E2S 1E4,32,0,32,10,English,284304,1
Region 3 - Fredericton,Anglophone West School District,2023025,Wise Owl Early Learning Centre,Full-time Centre,"281 Restigouche Road, Oromocto",NB,E2V 2H2,47,6,41,0,English,346882,1
Region 3 - Fredericton,Anglophone West School District,2023026,Wise Owl Afterschool Club,Part-time Centre,"281 Restigouche Road, Oromocto",NB,E2V 2H2,49,0,0,49,English,346882,0
Region 3 - Fredericton,Anglophone West School District,2022071,Carleton North Early Learning Centre,Full-time Centre,"17 Old School House Lane, Florenceville-Bristol",NB,E7L 4V3,51,6,30,15,English,331540,1
Region 3 - Fredericton,Anglophone West School District,2022116,Plaster Rock Explorers,Home,"53 Centennial Street, Plaster Rock",NB,E7G 1J2,6,2,3,1,English,340112,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2022108,Halte Scolaire Les Petits Anges,Part-time Centre,"700 Principale Rue, Néguac",NB,E9G 1N4,15,0,0,15,French,237116,0
Region 2 - Saint John,Anglophone South School District,2022083,Passamaquoddy Children's Centre Inc.,Part-time Centre,"212 Parr Street, Saint Andrews",NB,E5B 1M3,30,0,0,30,English,96172,0
Region 1 - Moncton,Anglophone East School District,2021064,Wiggles & Wonders Childcare,Part-time Centre,"39 Main Street, Sackville",NB,E4L 4A6,30,0,0,30,English,236658,0
Region 1 - Moncton,Anglophone East School District,2022006,GBC Early Learning Centre 2,Full-time Centre,"160 Old Coach Road, Riverview",NB,E1B 1N8,6,6,0,0,English,27678,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2021094,Centre Éducatif Les Farfeloups,Full-time Centre,"154 Canada Rue, Saint-Quentin",NB,E8A 1G7,21,3,18,8,French,237401,1
Region 2 - Saint John,Anglophone South School District,2022107,Boys and Girls Club St. Stephen Elementary School,Part-time Centre,"16 Kings Court, St. Stephen",NB,E3L 3X7,29,0,0,29,English,246089,0
Region 3 - Fredericton,District scolaire francophone Sud,526029,Franco III,Full-time Centre,"715 Priestman Street, Fredericton",NB,E3B 5W7,60,0,60,0,French,236832,1
Region 3 - Fredericton,District scolaire francophone Sud,2005910,L'Eveil Enfantin,Full-time Centre,"715 Priestman Street, Fredericton",NB,E3B 5W7,60,18,42,0,French,236832,1
Region 3 - Fredericton,Anglophone West School District,2023012,Little Rascals Daycare Inc.,Full-time Centre,"145 Smith Road, Waterville-Sunbury",NB,E2V 3V3,56,3,23,30,English,342653,1
Region 3 - Fredericton,Anglophone West School District,2023031,Sunnyside Daycare,Home,"36 Shayla Court, Fredericton",NB,E3A 0N3,6,2,3,1,English,348467,1
Region 3 - Fredericton,Anglophone West School District,2023015,Little Muddy hands Learning Center Inc.,Full-time Centre,"179 Sunbury Drive, Fredericton Junction",NB,E5L 1R5,44,9,35,0,English,342877,1
Region 1 - Moncton,District scolaire francophone Sud,2022105,Roche Papier Uno,Full-time Centre,"305 St-George Rue, Moncton",NB,E1C 1W8,12,6,6,0,French,339431,0
Region 1 - Moncton,District scolaire francophone Sud,2022119,Roche Papier Duo,Full-time Centre,"305 St-George Rue, Moncton",NB,E1C 1W8,49,0,24,25,French,342182,0
Region 1 - Moncton,Anglophone East School District,2022018,Logos Christian Daycare,Full-time Centre,"27 Sackville Street, Shediac",NB,E4P 2P9,20,0,20,0,English,318672,1
Region 3 - Fredericton,Anglophone West School District,2023048,Little Mittens Daycare,Home,"140 Union Street, Woodstock",NB,E7M 2X1,6,2,3,1,English,353196,1
Region 3 - Fredericton,Anglophone West School District,2023027,123 Learn with Me Childcare,Home,"1076 10 Route, Noonan",NB,E3A 7E7,6,2,3,1,English,347995,1
Region 3 - Fredericton,Anglophone West School District,2023051,Miles of Smiles Childcare,Home,"263 Priestman Street, Fredericton",NB,E3B 3B3,6,2,3,1,English,353447,1
Region 1 - Moncton,Anglophone East School District,2022058,The Spotted Toad After School Program,Part-time Centre,"22 Lansdowne Street, Sackville",NB,E4L 3Y9,30,0,0,30,English,96255,0
Region 1 - Moncton,Anglophone East School District,2021113,Powerplay Riverview Campus 5,Part-time Centre,"500 Hillsborough Road, Riverview",NB,E1B 4E7,52,0,0,52,English,237805,0
Region 3 - Fredericton,Anglophone West School District,2022029,Go-Go After School Hanwell,Part-time Centre,"1717 Hanwell Road, Hanwell",NB,E3C 2B9,37,0,0,37,English,237166,0
Region 1 - Moncton,District scolaire francophone Sud,2023045,Centre éducatif des trois chênes 1,Part-time Centre,"620 McLaughlin Drive, Moncton",NB,E1A 4R8,60,0,0,60,French,345420,0
Region 1 - Moncton,District scolaire francophone Sud,2023047,Centre éducatif des trois chênes 2,Part-time Centre,"620 McLaughlin Drive, Moncton",NB,E1A 4R6,45,0,0,45,French,345420,0
Region 3 - Fredericton,Anglophone West School District,2022028,Go-Go After School High Point Plaza 2,Part-time Centre,"283 New Maryland Highway, New Maryland",NB,E3C 2H3,30,0,0,30,English,237166,0
Region 3 - Fredericton,Anglophone West School District,2023034,Upper Nashwaak Kid's Club,Part-time Centre,"28 Bridge Street, Stanley",NB,E6C 1T5,15,0,0,15,English,349367,0
Region 4 - Bathurst,District scolaire francophone Nord-Est,2023006,Les p'tits cœurs à Manou Inc.,Full-time Centre,"2737 11 Route, Village St Laurent",NB,E9G 2J5,22,0,15,7,French,248308,0
Region 3 - Fredericton,District scolaire francophone Sud,260027,Garderie a petits pas,Full-time Centre,"67 Ragged Point Road, Saint John",NB,E2K 5C3,60,0,60,0,French,236614,1
Region 3 - Fredericton,District scolaire francophone Sud,260028,GARDERIE APRES CLASSE LA COCCINELLE,Part-time Centre,"67 Ragged Point Road, Saint John",NB,E2K 5C3,60,0,0,60,French,236614,0
Region 3 - Fredericton,District scolaire francophone Sud,260029,GARDERIE APRES CLASSE COCCINELLE II,Part-time Centre,"67 Ragged Point Road, Saint John",NB,E2K 5C3,46,0,0,46,French,236614,0
Region 3 - Fredericton,District scolaire francophone Sud,2006261,Garderie à Grand Pas,Full-time Centre,"67 Ragged Point Road, Saint John",NB,E2K 5C3,60,0,60,0,French,236614,1
Region 3 - Fredericton,District scolaire francophone Sud,2014977,Les Aventuriers de la Vallée,Part-time Centre,"250A Quispamsis Road, Quispamsis",NB,E2E 0R7,60,0,0,60,French,236614,0
Region 3 - Fredericton,District scolaire francophone Sud,2015319,La Vallée des Découvreurs,Full-time Centre,"250A Quispamsis Road, Quispamsis",NB,E2E 0R7,60,0,60,0,French,236614,1
Region 3 - Fredericton,District scolaire francophone Sud,2015320,Les Soleils Enchantés,Full-time Centre,"250A Quispamsis Road, Quispamsis",NB,E2E 0R7,57,18,39,0,French,236614,1
Region 3 - Fredericton,District scolaire francophone Sud,2015321,Les Vortex de la Vallée,Full-time Centre,"250A Quispamsis Road, Quispamsis",NB,E2E 0R7,60,0,30,45,French,236614,1
Region 1 - Moncton,District scolaire francophone Sud,2023054,Mon Ecole My School 2.0,Full-time Centre,"3860 115 Route, Notre-Dame",NB,E4V 2J2,60,0,0,60,French,236749,0
Region 3 - Fredericton,Anglophone West School District,2023050,UNB Children's Centre,Full-time Centre,"10 MacKay Drive, Fredericton",NB,E3B 5A3,20,0,20,0,English,353441,1
Region 2 - Saint John,Anglophone South School District,2023023,YMCA - Forest Glen PS & ASP,Part-time Centre,"651 Westmorland Road, Saint John",NB,E2J 2H3,20,0,20,20,English,202715,1
Region 2 - Saint John,Anglophone South School District,2023070,YMCA - St. Mark's - ASP 2,Part-time Centre,"50 Dexter Drive, Saint John",NB,E2M 4M4,29,0,0,29,English,202715,0
Region 3 - Fredericton,Anglophone West School District,2023063,Oakland Academy Lincoln 2,Full-time Centre,"2398 Lincoln Road, Lincoln",NB,E3B 7E6,55,24,31,0,English,293464,1
Region 2 - Saint John,Anglophone South School District,2023057,Little Stream Daycare,Home,"787 Route 825 Route, Garnett Settlement",NB,E2S 1Y3,5,2,3,0,English,356261,1
Region 3 - Fredericton,Anglophone West School District,2023052,Chipman Youth Centre,Part-time Centre,"19 Forest Avenue, Chipman",NB,E4A 1Z8,18,0,0,18,English,328662,0
Region 3 - Fredericton,Anglophone West School District,2023079,Curious Minds Childcare,Home,"3 WILLINGDON Street, Oromocto",NB,E2V 2S2,6,2,3,1,English,360674,1
Region 2 - Saint John,Anglophone South School District,2023060,River Road Hub After School Program,Part-time Centre,"32 Wallace Road, Browns Flat",NB,E5M 2P6,22,0,0,22,English,356694,0
Region 2 - Saint John,Anglophone East School District,2023074,"Rising Stars Daycare, Afterschool Program",Part-time Centre,"6 Kay Street, Petitcodiac",NB,E4Z 4K6,30,0,0,30,English,245014,0
Region 3 - Fredericton,Anglophone West School District,2023062,Munchkins Afterschool,Part-time Centre,"1769 640 Route, Hanwell",NB,E3C 2B3,30,0,0,30,English,220880,0
Region 3 - Fredericton,Anglophone West School District,2023029,River Valley Early Learning Center,Full-time Centre,"1-49 Mccain Street, Florenceville-Bristol",NB,E7L 3J7,40,6,21,13,English,236820,1
Region 1 - Moncton,Anglophone East School District,2023072,A Ton of Fun Early Learning Center,Full-time Centre,"15 Granville Drive, Moncton",NB,E1C 3G5,59,9,35,15,English,359741,1
Region 2 - Saint John,Anglophone South School District,2023058,Embertide Early Learning Centre,Full-time Centre,"14 Centennial Road, Hampton",NB,E5N 6N2,42,12,30,0,English,370874,1
Region 3 - Fredericton,Anglophone West School District,2023053,Little Heroes Academy,Full-time Centre,"850 Prospect Street, Fredericton",NB,E3B 9M5,56,12,30,14,English,353458,0
Region 2 - Saint John,Anglophone South School District,2023109,St. Paul's Playschool23,Part-time Centre,"4 Morrison Avenue, Sussex",NB,E4E 1P5,19,0,19,0,English,367436,0
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2023055,CPE Phare-O-Bulles inc.,Full-time Centre,"62 Queen Rue, Edmundston",NB,E3V 1A1,44,18,26,0,French,356657,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2023080,CPE Phare-O-Bulles 2 inc.,Full-time Centre,"62 Queen Rue, Edmundston",NB,E3V 1A1,50,0,20,30,French,356657,1
Region 1 - Moncton,District scolaire francophone Sud,2023092,Centre éducatif des trois chênes 3,Full-time Centre,"620 McLaughlin Promenade, Moncton",NB,E1A 4R6,52,12,40,0,French,345420,1
Region 1 - Moncton,District scolaire francophone Sud,2023093,Centre éducatif des trois chênes 4,Full-time Centre,"620 McLaughlin Promenade, Moncton",NB,E1A 4R6,49,0,49,0,French,345420,1
Region 3 - Fredericton,Anglophone West School District,2023110,Creative Childcare in Pepper Creek Inc.,Full-time Centre,"148 Mataya Drive, Richibucto Road",NB,E3A 0A6,60,9,41,10,English,369362,1
Region 3 - Fredericton,Anglophone West School District,2023077,Care Bear Home Daycare,Home,"92 KINGSWOOD Drive, Fredericton",NB,E3B 6Z8,6,2,3,1,English,360564,1
Region 2 - Saint John,Anglophone South School District,2023101,SCS Mini Lights Early Learning Centre,Full-time Centre,"43 Chapman Drive, Sussex",NB,E4E 1M4,12,12,0,0,English,236663,1
Region 1 - Moncton,District scolaire francophone Sud,2023098,Centre éducatif des trois chênes 5,Full-time Centre,"620 McLaughlin Drive, Moncton",NB,E1A 4R6,20,12,8,0,French,345420,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2023056,Garderie Les Mélodilous Centre Éducatif,Full-time Centre,"183 Mgr Martin Rue, Saint-Quentin",NB,E8A 1W3,10,3,7,0,French,349489,0
Region 4 - Bathurst,District scolaire francophone Nord-Est,2023097,La Halte Acadienne,Part-time Centre,"2930 Morais Rue, Bas-Caraquet",NB,E1W 6A8,19,0,0,19,French,237254,0
Region 3 - Fredericton,Anglophone West School District,2023113,Four Season Daycare,Home,"51 Birmingham Court, Fredericton",NB,E3B 6H2,6,2,3,1,English,370604,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2023124,Garderie Ici On Grandit,Full-time Centre,"65-A Laplante Est Chemin, Petit-Rocher",NB,E8J 1H4,52,6,46,0,French,371480,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2023125,Garderie Ici On Grandit 2,Part-time Centre,"65-A Laplante Est Chemin, Petit-Rocher",NB,E8J 1H4,45,0,0,45,French,371480,0
Region 4 - Bathurst,District scolaire francophone Nord-Est,2024003,Garderie Coeur d'Ange,Home,"251 York Rue, Bathurst",NB,E2A 1G9,6,2,3,1,French,373742,1
Region 1 - Moncton,Anglophone East School District,2023085,Clever Kidz Corner,Home,"401 Ryan Street, Moncton",NB,E1G 2W2,6,1,4,1,English,362452,1
Region 3 - Fredericton,Anglophone West School District,2024023,Wise Owl Academy- ELC,Full-time Centre,"1300-2 Onondaga Street, Oromocto",NB,E2V 2P4,49,18,31,0,English,346882,1
Region 3 - Fredericton,Anglophone West School District,2024024,Wise Owl Academy- Afterschool Club,Full-time Centre,"1300-2 Onondaga Street, Oromocto",NB,E2V 2P4,56,0,26,30,English,346882,1
Region 2 - Saint John,Anglophone South School District,2024017,Raisin' Bay-Bees,Home,"268 Church Avenue, Sussex",NB,E4E 1Z1,5,2,3,0,English,376903,1
Region 1 - Moncton,Anglophone East School District,2023108,BGC Moncton Afterschool Program,Part-time Centre,"15 EVERETT Street, Moncton",NB,E1C 3Z6,42,0,0,42,English,28532,0
Region 4 - Bathurst,Anglophone North School District,2024039,Kountry Kids Early Learning and Care,Full-time Centre,"54 Sydney Lane, Sunny Corner",NB,E9E 0E6,43,12,31,0,English,237530,1
Region 3 - Fredericton,Anglophone West School District,2024028,Ready Set Grow Early Learning Childcare,Home,"1416 605 Route, Millville",NB,E6E 1X6,6,2,3,1,English,379255,1
Region 2 - Saint John,Anglophone South School District,2024018,Kenzi's Home Daycare,Home,"149 Pleasant Avenue, Sussex",NB,E4E 1Y1,5,2,3,0,English,377021,1
Region 1 - Moncton,Anglophone East School District,2024015,Busybee Dayhome,Home,"99 Allison Drive, Moncton",NB,E1E 2T7,6,2,3,1,English,376597,1
Region 3 - Fredericton,Anglophone West School District,2024002,Little Owls Early Learning Centre,Full-time Centre,"566 Waasis Road, Oromocto",NB,E2V 2J4,27,9,18,0,English,372748,1
Region 3 - Fredericton,Anglophone West School District,2024036,Adventure Acres Early Learning,Home,"1831 Route 104 Route, Zealand",NB,E6L 2S4,6,2,3,1,English,381343,1
Region 3 - Fredericton,District scolaire francophone Sud,2024033,La P'tite Garderie,Home,"37 Sprucewood Drive, New Maryland",NB,E3C 1C7,3,3,0,0,French,380602,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2024043,Centre Éducatif Bouge O Max Inc.,Full-time Centre,"14 Noé Avenue, Saint-André",NB,E3Y 0C5,39,12,27,0,French,383992,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2024044,Centre Éducatif Bouge O Max 2,Full-time Centre,"475 de l'Église Rue, Saint-André",NB,E3Y 2Y2,60,0,30,30,French,383992,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2024046,K.F. Garderie Familio inc.,Home,"225 York Street, Bathurst",NB,E2A 1G9,6,2,3,1,French,348440,1
Region 2 - Saint John,Anglophone South School District,2023076,Embrace Early Learning Centre,Full-time Centre,"51 Heather Way, Saint John",NB,E2J 4C7,60,6,26,28,English,360263,1
Region 4 - Bathurst,Anglophone North School District,2024040,Kountry Kids After School Club in NSEE,Part-time Centre,"36 Northwest Road, Sunny Corner",NB,E9E 1K8,20,0,0,20,English,237530,0
Region 3 - Fredericton,Anglophone West School District,2023106,Centreville Child Care 1,Full-time Centre,"20 Burtt Street, Centreville",NB,E7K 0A8,57,12,0,45,English,236869,1
Region 2 - Saint John,Anglophone South School District,2023099,First Steps Early Learning Centre,Full-time Centre,"120 Coburg Street, Saint John",NB,E2L 3K1,6,6,0,0,English,236802,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2024012,Halte Scolaire La Rivière,Part-time Centre,"1050 350 Route, Landry Office",NB,E8P 2K9,10,0,0,10,French,237033,0
Region 1 - Moncton,District scolaire francophone Sud,2023127,Roche Papier Trio,Full-time Centre,"305 St George Street, Moncton",NB,E1C 1W8,51,0,24,27,French,371831,0
Region 4 - Bathurst,District scolaire francophone Nord-Est,2024062,Halte scolaire Bellefeuille,Part-time Centre,"906 Louis G. Daigle Rue, Tracadie-Sheila",NB,E1X 1G4,60,0,0,60,French,385600,0
Region 4 - Bathurst,District scolaire francophone Nord-Est,2024063,Halte scolaire Bellefeuille 2,Part-time Centre,"906 Louis G. Daigle Rue, Tracadie-Sheila",NB,E1X 1G4,15,0,0,15,French,385600,0
Region 3 - Fredericton,Anglophone West School District,2024050,Little Darlings Daycare,Home,"75 Main Street, Stanley",NB,E6B 1A7,6,2,3,1,English,383774,1
Region 2 - Saint John,Anglophone South School District,2018244,KIDDIE COVE PRESCHOOL AND DAYCARE,Full-time Centre,"1722 774 Route, Wilsons Beach",NB,E5E 1K7,54,0,36,18,English,236779,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2024060,Club Des Amis - Robertville,Full-time Centre,"2009 322 Route, Robertville",NB,E8K 2S4,55,6,34,15,French,236774,1
Region 2 - Saint John,Anglophone South School District,2023086,YMCA - GSJ - Quispamsis Child Care 1,Full-time Centre,"20 Millennium Drive, Quispamsis",NB,E2E 4B1,38,12,26,0,English,202715,1
Region 2 - Saint John,Anglophone South School District,2023087,YMCA - GSJ - Quispamsis Child Care 2,Full-time Centre,"20 Millennium Drive, Quispamsis",NB,E2E 4B1,30,0,30,0,English,202715,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2024016,Halte scolaire St-Joseph de Madawaska,Part-time Centre,"562 Toussaint Chemin, Saint-Joseph-de-Madawaska",NB,E7B 2T8,45,0,0,45,French,385570,0
Region 3 - Fredericton,Anglophone West School District,528007,Welamukotuk Early Learning Centre,Full-time Centre,"33 Hiawatha Avenue, Oromocto",NB,E2V 2W2,30,0,30,0,English,236993,0
Region 3 - Fredericton,Anglophone West School District,2024097,Go-Go After School Barkers Point,Part-time Centre,"39 Carman Avenue, Fredericton",NB,E3A 3W9,30,0,0,30,English,237166,0
Region 1 - Moncton,Anglophone East School District,2024038,Kingswood Academy 6,Full-time Centre,"1535 Ryan Street, Moncton",NB,E1G 2V4,51,0,25,26,English,237320,0
