Region,District,License-Number,Facility-Name,Facility-Type,Facility-Address-1,Facility-Address-2,Facility-Address-3,Max-Number-of-Children,Max-Number-of-Infants,Max-Number-of-Preschool-Aged-Children,Max-Number-of-School-Age-Children,Language-of-Service,Operator-Id,Designated-Facility
Region 2 - Saint John,Anglophone South School District,2019608,Boys and Girls Club of Charlotte County-Club ASP,Part-time Centre,"54 Disher Lane, Dufferin Charlotte Co",NB,E3L 3H7,30,0,0,30,English,246089,0
Region 1 - Moncton,Anglophone East School District,2019609,Wee College Salisbury,Full-time Centre,"3118 Main Street, Salisbury",NB,E4J 2L6,60,18,42,0,English,246187,1
Region 1 - Moncton,Anglophone East School District,2019612,Here We Grow Little Learners,Full-time Centre,"57 Boyd Street, Salisbury",NB,E4J 2A6,22,6,16,0,English,246354,1
Region 3 - Fredericton,Anglophone West School District,2019614,Cedar Brook Early Learning Center of Excellence,Full-time Centre,"3532 Woodstock Road, Fredericton",NB,E3E 1C9,52,6,46,0,English,246634,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2019616,Garderie Les Petits Passereaux Inc,Full-time Centre,"5067 160 Route, Pont-Landry",NB,E1X 2V5,60,0,45,15,French,247422,1
Region 4 - Bathurst,District scolaire francophone Sud,2019617,Les P'tits Baie Marins,Full-time Centre,"5362 117 Route, Baie-Sainte-Anne",NB,E9A 1V9,56,6,31,19,French,247959,1
Region 3 - Fredericton,Anglophone West School District,2019620,The Children's Academy Two Nations Crossing 2019,Full-time Centre,"570 Two Nations Crossing, Fredericton",NB,E3A 5V9,58,6,37,15,English,247069,1
Region 3 - Fredericton,Anglophone West School District,2019621,The Children's Academy 2019,Full-time Centre,"440 Kimble Drive, Fredericton",NB,E3B 7G6,49,9,40,0,English,247069,1
Region 2 - Saint John,Anglophone South School District,2019626,Silver Birch Montessori,Home,"60 Elizabeth Parkway, Rothesay",NB,E2H 1E9,6,0,5,1,English,247368,0
Region 2 - Saint John,Anglophone South School District,2019627,Origins NLC 627,Full-time Centre,"4 Landing Court, Quispamsis",NB,E2E 4R2,14,0,10,0,English,236706,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2019629,Garderie Carrefour des amis,Full-time Centre,"806 École Rue, Beresford",NB,E8K 1V5,60,6,39,15,French,248046,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2019633,Ami  Bee #2,Home,"866 Robertville Chemin, Dunlop",NB,E8K 2K5,6,2,3,1,French,248352,1
Region 1 - Moncton,Anglophone East School District,2019634,Mud Pies & Butterflies Family Childcare,Full-time Centre,"24 Remi Court, Dieppe",NB,E1A 6V7,15,0,12,15,English,253054,1
Region 2 - Saint John,Anglophone South School District,2019639,Mel's Toddler Town,Full-time Centre,"42 Craig Crescent, Saint John",NB,E2K 4J4,15,0,15,2,English,249045,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2019642,Halte Carrefour des amis,Part-time Centre,"795 École Rue, Beresford",NB,E8K 1V4,60,0,0,60,French,248046,0
Region 3 - Fredericton,Anglophone West School District,2019646,Tippy Toes,Home,"2488 640 Route, Hanwell",NB,E3E 2C2,6,2,3,1,English,249394,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2019650,CPE Les Poussins,Full-time Centre,"523 Principale Rue, Clair",NB,E7A 2G8,43,10,22,14,French,249773,1
Region 2 - Saint John,Anglophone South School District,2019660,Waddle In After School Learning Centre,Part-time Centre,"3946 845 Route, Kingston",NB,E5N 1E9,30,0,0,30,English,237072,0
Region 1 - Moncton,Anglophone East School District,2019665,Dufferin Street Afterschool Academy,Part-time Centre,"10 Dufferin Street, Sackville",NB,E4L 3W3,60,0,0,60,English,236718,0
Region 1 - Moncton,District scolaire francophone Sud,2019669,La Boussole V,Full-time Centre,"50 High Street, Richibucto",NB,E4W 5M8,57,0,15,42,French,172787,1
Region 1 - Moncton,Anglophone East School District,2019670,Wee College Homestead,Full-time Centre,"47529 Homestead Road, Steeves Mountain",NB,E1G 4P6,55,12,28,15,English,256292,1
Region 1 - Moncton,Anglophone East School District,2019672,Wee College Pine Glen,Part-time Centre,"213 Pine Glen Road, Riverview",NB,E1B 4V1,36,0,0,36,English,236923,0
Region 1 - Moncton,Anglophone East School District,2019674,Wee College Pine Glen Too,Part-time Centre,"213 Pine Glen Road, Riverview",NB,E1B 4V1,56,0,0,56,English,236923,0
Region 1 - Moncton,Anglophone East School District,2019678,Powerplay Academy Moncton 4,Part-time Centre,"1220 Ryan Street, Moncton",NB,E1G 2V6,60,0,0,60,English,237805,0
Region 1 - Moncton,Anglophone East School District,2019680,Powerplay Academy Moncton 5,Full-time Centre,"1220 Ryan Street, Moncton",NB,E1G 2V6,53,24,20,9,English,237805,1
Region 1 - Moncton,Anglophone East School District,2019683,Powerplay Academy Moncton 6,Full-time Centre,"1220 Ryan Street, Moncton",NB,E1G 2V6,60,0,60,0,English,237805,1
Region 1 - Moncton,District scolaire francophone Sud,2019687,Garderie La Mélodie 3 (2014) Inc.,Full-time Centre,"48 Ohio Chemin, Shediac",NB,E4P 2J9,60,3,30,27,French,236812,1
Region 3 - Fredericton,Anglophone West School District,2019690,School Street Child Care,Full-time Centre,"201 School Street, Woodstock",NB,E7M 0G7,51,6,45,0,English,253268,1
Region 1 - Moncton,District scolaire francophone Sud,2019694,Centre educatif les p'tits crayons Inc.,Full-time Centre,"313 Centrale Rue, Memramcook",NB,E4K 1Z9,60,9,36,15,French,253723,1
Region 3 - Fredericton,District scolaire francophone Sud,2019696,Garderie Les Petits Ours,Home,"42 Watling Crescent, Oromocto",NB,E2V 4M8,6,2,3,1,French,253805,1
Region 3 - Fredericton,Anglophone West School District,2019698,Runts 'n' Rascals Daycare,Full-time Centre,"429 New Maryland Highway, New Maryland",NB,E3C 2H6,56,0,34,22,English,237013,1
Region 1 - Moncton,Anglophone East School District,2019699,Owls and Friends Learning Tree,Full-time Centre,"357 Collishaw Street, Moncton",NB,E1C 9R2,41,3,23,15,English,254114,1
Region 4 - Bathurst,Anglophone West School District,2020001,Little Feathers Early Learning Centre,Full-time Centre,"14 Okisu Trail, Madawaska Maliseet First Nation",NB,E7C 0C6,60,6,39,15,English,254543,1
Region 3 - Fredericton,Anglophone West School District,2020002,The Children's Academy Pepper Creek,Full-time Centre,"336 10 Route, Richibucto Road",NB,E3A 7E1,60,12,32,16,English,247069,1
Region 1 - Moncton,Anglophone East School District,2020005,YMCA of Greater Moncton - North End,Part-time Centre,"70 Twin Oaks Drive, Moncton",NB,E1G 0A1,60,0,20,60,English,236908,1
Region 1 - Moncton,Anglophone East School District,2020006,Willow Bend Early Learning Centre,Full-time Centre,"1097 Salisbury Road, Moncton",NB,E1E 3V9,31,12,19,0,English,254709,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2020009,Garderie Manège Enchanté 2020 inc.,Full-time Centre,"1190 Principale Rue, Beresford",NB,E8K 2J1,55,6,31,18,French,254999,1
Region 3 - Fredericton,Anglophone West School District,2020014,Brighter Beginnings Childcare Center,Full-time Centre,"67 Main Street, Linton Corner",NB,E7G 2H3,49,9,25,15,English,255130,1
Region 4 - Bathurst,Anglophone North School District,2020015,Wee Care Daycare,Full-time Centre,"11 Aberdeen Street, Campbellton",NB,E3N 2J3,53,0,38,15,English,255147,1
Region 3 - Fredericton,District scolaire francophone Sud,2020016,Les petits trésors,Full-time Centre,"30A Beaufort Street, Oromocto",NB,E2V 0M6,39,18,21,0,French,255167,1
Region 3 - Fredericton,District scolaire francophone Sud,2020017,Les marins,Part-time Centre,"30A Beaufort Street, Oromocto",NB,E2V 0M6,60,0,0,60,French,255167,0
Region 3 - Fredericton,District scolaire francophone Sud,2020018,Les moussaillons,Full-time Centre,"30A Beaufort Street, Oromocto",NB,E2V 0M6,51,0,51,0,French,255167,1
Region 1 - Moncton,Anglophone East School District,2020020,Our Happy Place,Home,", Dieppe",NB,,9,2,3,9,English,255472,1
Region 1 - Moncton,District scolaire francophone Sud,2020027,Centre educatif les p'tits crayons 2,Full-time Centre,"520 Amirault Rue, Dieppe",NB,E1A 1C8,34,9,23,2,French,256273,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2020032,Garderie la Forêt des Découvertes Inc.,Full-time Centre,"70 des Pionniers Avenue, Balmoral",NB,E8E 1E1,32,6,26,0,French,261280,1
Region 4 - Bathurst,District scolaire francophone Nord-Est,2020033,Garderie la Forêt des Découvertes 2,Full-time Centre,"70 des Pionniers Avenue, Balmoral",NB,E8E 1E1,38,6,32,0,French,261280,1
Region 2 - Saint John,Anglophone South School District,2020034,The Woods 034,Part-time Centre,"193 Pettingill Road, Quispamsis",NB,E2E 4R2,30,0,0,30,English,261880,0
Region 3 - Fredericton,Anglophone West School District,2020039,Bright Minds Early Learning Centre,Full-time Centre,"15 Harold Doherty Court, Fredericton",NB,E3A 5P2,35,6,29,0,English,262270,1
Region 2 - Saint John,Anglophone South School District,2020040,The Woods 040,Full-time Centre,"193 Pettingill Road, Quispamsis",NB,E2E 4R2,60,21,39,0,English,261880,1
Region 2 - Saint John,Anglophone South School District,2020041,The Woods 041,Full-time Centre,"193 Pettingill Road, Quispamsis",NB,E2E 4R2,60,0,20,40,English,261880,1
Region 3 - Fredericton,Anglophone West School District,2020043,Go-Go Preschool High Point Plaza,Full-time Centre,"283 New Maryland Highway, New Maryland",NB,E3C 2H3,24,0,24,0,English,237166,1
Region 4 - Bathurst,District scolaire francophone Nord-Ouest,2020045,Garderie les amis de Madi,Full-time Centre,"255 Main Rue, Grand-Sault/Grand Falls",NB,E3Z 2W1,47,12,35,0,French,242839,1
Region 3 - Fredericton,Anglophone West School District,2020047,Go-Go After School & Preschool Two Nations,Full-time Centre,"80 Two Nations Crossing, Fredericton",NB,E3A 0H2,40,0,40,10,English,237166,1
